Subject,Group,count,Feel1,Feel2,Feel3,Flch_2_1,Flch_3_1,Content_pos1,Content_pos2,Content_pos3,Conch_2_1,Conch_3_1,ConSim_2_1,ConSim_3_1,r1_total_details,r2_orig_perc,r2_elab_perc,r2_newpos_perc,r2_newneg_perc,r3_orig_perc,r3_elab_perc,r3_newpos_perc,r3_newneg_perc,date
653,Control,10,4.1,5.1,6.5,1,2.4,3.95,4.2,4.2,0.25,0.25,2.65,2.9,4.611111111,0.922398589,0,0.052910053,0.024691358,0.949074074,0,0,0.050925926,3.9
664,Positive,10,3.4,4,4.7,0.6,1.3,4.05,4.1,4.35,0.05,0.3,3.5,3.05,2.3125,0.725,0,0.077380952,0.197619048,0.90625,0,0.0625,0.03125,2.4
666,Positive,6,5.333333333,7.833333333,5.833333333,2.5,0.5,3.75,4.083333333,4.5,0.333333333,0.75,2.833333333,4.083333333,4.166666667,0.813492063,0.083333333,0.072420635,0.093253968,0.825396825,0,0.023809524,0.150793651,4.333333333
667,Control,10,2.6,5,3.6,2.4,1,3.8,4.2,4.35,0.4,0.55,2.4,2.75,6.5,0.965,0,0.025,0.01,0.971196581,0,0.028803419,0,5.3
668,Positive,10,4.4,4.4,4.6,0,0.2,3.4,4,4.4,0.6,1,2.95,4.1,7,0.849439464,0.2,0.10415028,0.016025641,0.860726496,0.35,0.04125,0.03125,4.7
674,Positive,10,3.8,3.8,3.9,0,0.1,3.7,3.8,4.05,0.1,0.35,2.8,3.5,5.25,0.894444444,0,0.044444444,0.061111111,0.854761905,0,0.053571429,0.091666667,4.9
675,Control,10,3.6,3.4,4.4,-0.2,0.8,4.2,4.2,4.5,0,0.3,2.1,2.65,2.95,0.906547619,0,0.030952381,0.0625,0.736904762,0,0.131746032,0.131349206,4
677,Control,10,4.7,5.2,5.3,0.5,0.6,4.1,4.3,4.5,0.2,0.4,2.4,2.25,5.4,0.95,0,0.02,0.03,0.956666667,0,0.043333333,0,4.5
678,Positive,10,6,6,6,0,0,3.85,3.75,3.8,-0.1,-0.05,2.9,3.5,4.111111111,0.77970178,0,0.0995671,0.120731121,0.772835498,0,0.096476671,0.130687831,3.7
679,Positive,10,4.4,7.7,6.7,3.3,2.3,3.65,4.65,4.65,1,1,3.9,4.45,6.95,0.820137363,0.3,0.055192308,0.059285714,0.803214286,0.2,0.092261905,0.062857143,4.4
681,Positive,9,4.888888889,5.333333333,5.444444444,0.444444444,0.555555556,3.777777778,4.055555556,4.166666667,0.277777778,0.388888889,3.5,4.166666667,5.125,0.835863095,0,0.130654762,0.033482143,0.860714286,0,0.121428571,0.017857143,4.222222222
682,Control,10,4.4,4.8,5.1,0.4,0.7,3,3.25,3.4,0.25,0.4,2.95,3.45,4.8,0.762075702,0,0.151971917,0.085952381,0.730707071,0,0.144444444,0.124848485,6.3
684,Control,9,3.555555556,4,4.222222222,0.444444444,0.666666667,3.722222222,3.722222222,4.222222222,0,0.5,3.333333333,3.5,3.75,0.6876443,0,0.183928571,0.128427128,0.888392857,0,0.049107143,0.0625,3.111111111
686,Control,10,5.9,5.8,5,-0.1,-0.9,4.65,4.35,4.35,-0.3,-0.3,3.1,3.4,5.55,0.856984127,0.15,0.051666667,0.066349206,0.885,0.05,0.0525,0.0525,4.8
688,Control,9,3.222222222,3.555555556,3.666666667,0.333333333,0.444444444,3.555555556,3.944444444,4,0.388888889,0.444444444,3.166666667,3.5,5.666666667,0.744530161,0.055555556,0.176457493,0.060493827,0.731766382,0.055555556,0.195482295,0.056878307,4.666666667
